Date,06EAP-138,06LAA-138,06RRD-138,07IVY-230,07OMS-230,09LBR-230
1/29/2016,680.5354167,676.4579167,551.5545833,329.1729167,362.12625,731.1979167
1/30/2016,584.2266667,589.95,580.6979167,359.0395833,610.2683333,738.2966667
1/31/2016,469.8254167,473.51375,451.5379167,423.6416667,566.93875,545.6616667
2/1/2016,560.3391667,564.7966667,562.4858333,382.1279167,387.2954167,619.0016667
2/2/2016,635.36375,640.0222917,646.7983333,362.87375,377.7270833,755.0329167
2/3/2016,613.98125,618.5633333,625.985,340.2583333,350.4983333,769.72625
2/4/2016,561.0791667,564.998125,561.8875,344.1079167,355.7395833,654.1554167
2/5/2016,579.3058333,584.3466667,578.25625,344.92375,355.2420833,679.78
2/6/2016,551.26875,555.3216667,550.975,317.2933333,324.2170833,642.29875
2/7/2016,504.41125,508.825,494.5533333,327.8145833,340.86375,564.54375
2/8/2016,577.0383333,580.4079167,568.7775,326.1533333,337.6670833,613.0545833
2/9/2016,582.6833333,587.93375,582.4604167,325.88375,336.3275,700.6795833
2/10/2016,567.7629167,575.0277083,569.3304167,332.2341667,343.1454167,677.3808333
2/11/2016,604.8991667,611.9297917,604.1395833,328.6633333,338.8691667,694.7316667
2/12/2016,599.30875,608.6175,600.6191667,379.2495833,398.49,681.19375
2/13/2016,515.3470833,519.578125,517.0241667,374.39125,391.2466667,598.01875
2/14/2016,508.4283333,513.2741667,508.90375,370.6620833,386.15125,576.7329167
2/15/2016,637.785,643.2822917,639.4504167,371.95875,388.8045833,722.19
2/16/2016,626.3904167,631.63625,632.4220833,373.20875,391.30625,709.85125
2/17/2016,648.8845833,653.9654167,658.3708333,357.9479167,368.3845833,730.8483333
2/18/2016,626.9083333,632.6752083,636.53875,345.0658333,357.25125,720.4216667
2/19/2016,644.6929167,651.3579167,655.4525,339.3775,349.9083333,732.8291667
2/20/2016,570.9475,576.3504167,576.4245833,341.1829167,354.7791667,624.08125
2/21/2016,499.4704167,503.3004167,496.6816667,336.8083333,349.7008333,615.0245833
2/22/2016,649.3795833,655.0491667,655.6566667,378.7741667,396.8720833,705.2729167
2/23/2016,684.7216667,691.3222917,689.0075,389.7125,408.4879167,782.2445833
2/24/2016,689.89125,696.1160417,686.2216667,405.7604167,424.035,788.76125
2/25/2016,642.6425,646.7779167,632.135,347.685,360.6258333,762.8229167
2/26/2016,754.7891667,761.1289583,765.8416667,347.1079167,357.1454167,881.2533333
2/27/2016,572.4179167,576.6691667,573.9641667,334.8533333,348.8929167,637.9691667
2/28/2016,481.1916667,484.588125,480.1004167,332.4825,344.78375,536.1383333
2/29/2016,649.5416667,654.7004167,652.7583333,401.91875,425.3266667,648.74875
3/1/2016,605.9595833,610.930625,607.0995833,356.4054167,371.5129167,652.5975
3/2/2016,621.7629167,629.0670833,605.7766667,332.0295833,343.275,667.35875
3/3/2016,576.2158333,575.9597917,491.4625,383.0341667,396.2670833,655.0491667
3/4/2016,640.49,642.2304167,588.3195833,320.3620833,328.1,738.9691667
3/5/2016,504.9591667,509.9445833,501.8675,341.0166667,346.6308333,587.38125
3/6/2016,442.7425,446.9908333,428.9983333,337.455,342.7858333,557.1845833
3/7/2016,574.5979167,579.8347917,560.3145833,357.2508333,362.4779167,617.2083333
3/8/2016,575.8675,581.4614583,561.3070833,392.1970833,396.5383333,605.6004167
3/9/2016,570.26375,576.4325,554.6283333,391.5225,395.5520833,599.45375
3/10/2016,573.6420833,578.99,558.7466667,378.2029167,378.37875,634.33375
3/11/2016,578.95,583.6160417,560.8929167,419.1483333,422.6304167,643.275
3/12/2016,591.1491667,596.12,574.52,392.4091667,399.5116667,659.0270833
3/13/2016,515.4995833,520.4552083,505.6920833,361.1330435,367.1273913,663.2054167
3/14/2016,618.4075,625.0197917,615.3075,312.1329167,321.6233333,704.86125
3/15/2016,603.3233333,610.0816667,608.1945833,311.5629167,320.79,718.83625
3/16/2016,554.1208333,560.7654167,557.16125,323.695,332.9279167,618.81375
3/17/2016,612.7058333,620.2452083,619.6445833,333.9679167,343.4408333,711.40875
3/18/2016,630.6920833,637.9472917,642.6979167,321.14125,328.48625,852.2429167
3/19/2016,511.7170833,516.803125,511.8491667,332.7616667,341.7433333,609.6633333
3/20/2016,480.02125,481.3789583,432.7258333,320.6183333,325.8891667,615.8925
3/21/2016,558.2408333,561.7429167,560.1541667,320.485,328.1779167,658.7870833
3/22/2016,526.8466667,529.6789583,517.20625,322.4870833,328.7108333,563.5258333
3/23/2016,539.2333333,543.5691667,537.8016667,322.3191667,329.2308333,562.1991667
3/24/2016,723.7,729.8516667,744.3083333,319.9108333,327.3558333,861.0345833
3/25/2016,500.37,504.454375,496.0008333,307.5704167,314.9816667,584.0991667
